ID,Name,Code,Image,Time Zone ID
116,Acre,AC,,
66,Aguascalientes,AG,,
236,Aichi,Ai,,
218,Akita,Ak,,
4,Alabama,AL,/Images/State/Alabama.png,America/Chicago
117,Alagoas,AL,,
5,Alaska,AK,/Images/State/Alaska.png,America/Anchorage
53,Alberta,AB,,
159,Alsace,A,,
118,Amapá,AP,,
119,Amazonas,AM,,
98,Andalucía,AN,,
215,Aomori,Ao,,
160,Aquitaine,B,,
99,Aragón,AR,,
6,Arizona,AZ,/Images/State/Arizona.png,America/Phoenix
7,Arkansas,AR,/Images/State/Arkansas.png,America/Chicago
100,Asturias,AS,,
161,Auvergne,C,,
143,Baden-Württemberg,BW,,
120,Bahia,BA,,
67,Baja California,BN,,
68,Baja California Sur,BS,,
162,Basse-Normandie,P,,
144,Bayern,BY,,
145,Berlin,BE,,
205,Bornholm,DK,,
163,Bourgogne,D,,
146,Brandenburg,BB,,
147,Bremen,HB,,
164,Bretagne,E,,
54,British Columbia,BC,[Null],
202,Byen Kobenhavn,DK,,
1,California,CA,/Images/State/California.png,America/Los_Angeles
69,Campeche,CM,,
101,Canarias,CN,,
102,Cantabria,CB,,
104,Castilla y León,CL,,
103,Castilla-La Mancha,CM,,
105,Cataluña,CT,,
121,Ceará,CE,,
165,Centre,F,,
114,Ceuta,CE,,
166,Champagne-Ardenne,G,,
70,Chiapas,CP,,
225,Chiba,Ch,,
71,Chihuahua,CH,,
72,Coahuila,CA,,
73,Colima,CL,,
8,Colorado,CO,/Images/State/Colorado.png,America/Denver
185,Connaught,C,,
9,Connecticut,CT,/Images/State/Connecticut.png,America/New_York
167,Corse,H,,
10,Delaware,DE,/Images/State/Delaware.png,America/New_York
11,District of Columbia,DC,,America/New_York
74,Distrito Federal,DF,,
122,Distrito Federal,DF,,
190,Drenthe,DR,,
75,Durango,DU,,
251,Ehime,Eh,,
181,England,EN,,
123,Espírito Santo,ES,,
106,Extremadura,EX,,
191,Flevoland,FL,,
12,Florida,FL,/Images/State/Florida.png,America/New_York
168,Franche-Comté,I,,
192,Fryslân,FR,,
231,Fukui,Fu,,
253,Fukuoka,Fu,,
220,Fukushima,Fu,,
208,Fyn,DK,,
107,Galicia,GA,,
193,Gelderland,GE,,
13,Georgia,GA,/Images/State/Georgia.png,America/New_York
234,Gifu,Gi,,
124,Goiás,GO,,
