Rank,Name,Conference,Record,Road,Neutral,Home,Non-Div 1
1,Florida St.,ACC,22-0-1,7-0-1,4-0-0,11-0-0,0-0-0
2,BYU,Big 12,20-3-3,8-1-0,2-2-0,10-0-3,0-0-0
3,Stanford,Pac-12,20-1-4,6-0-3,1-1-0,13-0-1,0-0-0
4,Penn St.,Big Ten,15-3-4,3-1-3,0-1-0,12-1-1,1-0-0
5,Clemson,ACC,18-4-4,6-1-1,1-2-0,11-1-3,0-0-0
6,North Carolina,ACC,13-2-8,4-1-5,1-0-0,8-1-3,0-0-0
7,Georgia,SEC,13-4-6,3-3-2,4-0-0,6-1-4,0-0-0
8,Pittsburgh,ACC,17-6-1,7-5-0,1-1-0,9-0-1,0-0-0
9,UCLA,Pac-12,16-2-1,7-1-0,0-0-0,9-1-1,0-0-0
10,Saint Louis,Atlantic 10,19-3-2,7-2-1,2-0-0,10-1-1,0-0-0
11,Texas Tech,Big 12,16-2-5,3-1-4,2-0-0,11-1-1,0-0-0
12,Georgetown,Big East,13-2-7,5-1-3,2-1-0,6-0-4,0-0-0
13,Memphis,AAC,20-2-0,7-1-0,4-1-0,9-0-0,0-0-0
14,Arkansas,SEC,15-5-2,3-3-2,2-1-0,10-1-0,0-0-0
15,Notre Dame,ACC,12-4-4,4-1-2,0-2-0,8-1-2,0-0-0
16,Brown,Ivy League,12-3-2,5-1-0,0-1-0,7-1-2,0-0-0
17,Harvard,Ivy League,13-4-2,4-2-1,2-1-0,7-1-1,0-0-0
18,Princeton,Ivy League,10-5-4,3-2-3,0-1-0,7-2-1,0-0-0
19,Mississippi St.,SEC,12-6-5,4-3-2,1-1-1,7-2-2,0-0-0
20,Nebraska,Big Ten,17-4-3,7-2-1,0-1-0,10-1-2,0-0-0
21,Texas,Big 12,17-5-2,5-2-0,2-0-0,10-3-2,0-0-0
22,Alabama,SEC,12-5-5,6-3-1,0-1-1,6-1-3,0-0-0
23,Wisconsin,Big Ten,14-5-4,6-1-2,1-2-0,7-2-2,0-0-0
24,Columbia,Ivy League,11-5-3,4-2-3,0-1-0,7-2-0,0-0-0
25,Michigan St.,Big Ten,14-5-3,6-2-1,1-0-0,7-3-2,0-0-0
26,Southern California,Pac-12,11-5-3,4-4-1,0-0-0,7-1-2,0-0-0
27,Xavier,Big East,14-4-4,6-1-2,1-1-0,7-2-2,0-0-0
28,Santa Clara,WCC,14-5-2,5-4-2,0-0-0,9-1-0,0-0-0
29,South Alabama,Sun Belt,16-1-3,6-0-2,2-1-0,8-0-1,0-0-0
30,Iowa,Big Ten,13-5-4,5-3-2,2-1-0,6-1-2,0-0-0
31,Tennessee,SEC,9-7-4,5-3-2,0-1-0,4-3-2,0-0-0
