Short Name,Long Name,Division,Conference,Nickname,Colors,City,State,Loadable,NCAA URL
Maine,University of Maine,Division I,America East,Black Bears,Blue & White,Orono,Maine,True,https://www.ncaa.com/schools/maine
Maryland-Baltimore-County,UMBC,Division I,America East,Retrievers,Black & Gold,Baltimore,Maryland,True,https://www.ncaa.com/schools/umbc
Mass.-Lowell,UMass Lowell,Division I,America East,River Hawks,"Blue, White and Red",Lowell,Massachusetts,True,https://www.ncaa.com/schools/umass-lowell
New Hampshire,University of New Hampshire,Division I,America East,Wildcats,Blue & White,Durham,New Hampshire,True,https://www.ncaa.com/schools/new-hampshire
New-Jersey-Tech,New Jersey Institute of Technology,Division I,America East,Highlanders,Red & White (Blue Accent),Newark,New Jersey,True,https://www.ncaa.com/schools/njit
Binghamton,Binghamton University,Division I,America East,Bearcats,Green & Black,Vestal,New York,True,https://www.ncaa.com/schools/binghamton
Bryant,Bryant University,Division I,America East,Bulldogs,Black & Gold,Smithfield,Rhode Island,True,https://www.ncaa.com/schools/bryant
Vermont,University of Vermont,Division I,America East,Catamounts,Green & Gold,Burlington,Vermont,True,https://www.ncaa.com/schools/vermont
UAB,UAB,Division I,American Athletic,Blazers,Forest Green & Old Gold,Birmingham,Alabama,True,https://www.ncaa.com/schools/uab
Florida Atlantic,Florida Atlantic University,Division I,American Athletic,Owls,"Blue, Red and Grey",Boca Raton,Florida,True,https://www.ncaa.com/schools/fla-atlantic
South Fla.,University of South Florida,Division I,American Athletic,Bulls,Green & Gold,Tampa,Florida,True,https://www.ncaa.com/schools/south-fla
Wichita St.,Wichita State University,Division I,American Athletic,Shockers,Yellow & Black,Wichita,Kansas,True,https://www.ncaa.com/schools/wichita-st
Tulane,Tulane University,Division I,American Athletic,Green Wave,Olive Green & Blue,New Orleans,Louisiana,True,https://www.ncaa.com/schools/tulane
Charlotte,UNC Charlotte,Division I,American Athletic,49ers,Green & White,Charlotte,North Carolina,True,https://www.ncaa.com/schools/charlotte
East Carolina,East Carolina University,Division I,American Athletic,Pirates,Purple & Gold,Greenville,North Carolina,True,https://www.ncaa.com/schools/east-carolina
Tulsa,The University of Tulsa,Division I,American Athletic,Golden Hurricane,"Old Gold, Royal Blue & Crimson",Tulsa,Oklahoma,True,https://www.ncaa.com/schools/tulsa
Temple,Temple University,Division I,American Athletic,Owls,Cherry & White,Philadelphia,Pennsylvania,True,https://www.ncaa.com/schools/temple
Memphis,University of Memphis,Division I,American Athletic,Tigers,Blue & Gray,Memphis,Tennessee,True,https://www.ncaa.com/schools/memphis
North Texas,University of North Texas,Division I,American Athletic,Mean Green,Green & White,Denton,Texas,True,https://www.ncaa.com/schools/north-texas
Rice,Rice University,Division I,American Athletic,Owls,Blue & Gray,Houston,Texas,True,https://www.ncaa.com/schools/rice
SMU,Southern Methodist University,Division I,American Athletic,Mustangs,Red & Blue,Dallas,Texas,True,https://www.ncaa.com/schools/smu
Texas at San Antonio,University of Texas at San Antonio,Division I,American Athletic,Roadrunners,"Navy Blue, Orange & White",San Antonio,Texas,True,https://www.ncaa.com/schools/utsa
Loyola (IL),Loyola University Chicago,Division I,Atlantic 10,Ramblers,Maroon & Gold,Chicago,Illinois,True,https://www.ncaa.com/schools/loyola-chicago
Mass-Amherst,University of Massachusetts,Division I,Atlantic 10,Minutemen,Maroon & White,Amherst,Massachusetts,True,https://www.ncaa.com/schools/massachusetts
St. Louis,Saint Louis University,Division I,Atlantic 10,Billikens,Royal Blue & White,Saint Louis,Missouri,True,https://www.ncaa.com/schools/saint-louis
Fordham,Fordham University,Division I,Atlantic 10,Rams,Maroon & White,Bronx,New York,True,https://www.ncaa.com/schools/fordham
St. Bonaventure,St. Bonaventure University,Division I,Atlantic 10,Bonnies,Brown & White,Saint Bonaventure,New York,True,https://www.ncaa.com/schools/st-bonaventure
Davidson,Davidson College,Division I,Atlantic 10,Wildcats,Red & Black,Davidson,North Carolina,True,https://www.ncaa.com/schools/davidson
Dayton,University of Dayton,Division I,Atlantic 10,Flyers,Red & Blue,Dayton,Ohio,True,https://www.ncaa.com/schools/dayton
Duquesne,Duquesne University,Division I,Atlantic 10,Dukes,Red & Blue,Pittsburgh,Pennsylvania,True,https://www.ncaa.com/schools/duquesne
La Salle,La Salle University,Division I,Atlantic 10,Explorers,Blue & Gold,Philadelphia,Pennsylvania,True,https://www.ncaa.com/schools/la-salle
Saint Joseph's,Saint Joseph's University,Division I,Atlantic 10,Hawks,Crimson & Gray,Philadelphia,Pennsylvania,True,https://www.ncaa.com/schools/saint-josephs
