Name,Position,Outgoing College,Incoming College
Desiree Foster,Forward,Arizona,Boise State
Nina Norshie,Forward/Defender,Barton Community College,Florida State
Remini Tillotson,Defender,TCU,Michigan State
Emily Mathews,Midfielder,Purdue,Michigan State
Grace Watkins,Forward,Duke,Utah
Devi Dudley,Midfielder,Clemson,Utah
Ava Hetzel,Defender,Vanderbilt,Utah
Luciana Latino,Midfielder,Penn State,Tennessee
Rylee Howard,Forward,Wisconsin,Saint Louis
Camille Welker,Midfielder,Iowa,Saint Louis
Azul Alvarez,Goalkeeper,TCU,Baylor
Amelia Brown,Midfielder,Minnesota,Charlotte
Erin Hopewell,Forward,Rhode Island,Charlotte
Lilly Touhey,Midfielder,Iowa State,Charlotte
Jazmin Ferguson,Defender,East Carolina,LSU
Meg Hughes,Forward,Providence,Michigan State
Hailey Chambliss,Midfielder,Missouri State,Missouri
Chloe Seelhoff,Midfielder,Washington,Montana
Lexi Lerwick,Defender,Washington State,Oregon
Kaylee Dressback,Defender,Houston,Sam Houston State
Zoe Lam,Defender/Midfielder,UTSA,Tarleton State
Megan Plaschko,Goalkeeper,Minnesota,TCU
Grace DeShetler,Midfielder,Kansas State,Troy
Rachel Bastone,Defender,Santa Clara,Utah
Farrah Walters,Forward,Santa Clara,Duke
Zoe Cuneio,Defender,Purdue,Tennessee
Mia Oliaro,Midfielder,North Carolina,Duke
Maddie Kemp,Midfielder,Gonzaga,Kentucky
Jordan Fusco,Midfielder,Tennessee,Penn State
Emily Colton,Midfielder,North Carolina,Wake Forest
Emilee Hauser,Defender,Arkansas,Florida
Kacie Laurie,Midfielder,Arkansas,Colorado State
Emma Thielbahr,Defender,San Diego,Denver
Delaney DeMartino,Forward,Loyola (MD),Maryland
Bella Piete,Midfielder,San Diego,Grand Canyon
Avery Snead,Midfielder,Providence,Indiana
Katerina Vassilounis,Midfielder,Michigan State,Troy
Kayleigh Herr,Defender,North Carolina,Penn State
Sophine Kevorkian,Goalkeeper,San Diego,LSU
Kameron Simmonds,Forward,Tennessee,Florida State
Emma Wennar,Forward,Clemson,College of Charleston
Ella Freebury,Defender,Houston,Northern Arizona
Ava Blum,Midfielder/Defender,Omaha,Lindenwood
Melina Rebimbas,Forward,North Carolina,Alabama
Maddie Fried,Midfielder,Villanova,Connecticut
Ava King,Goalkeeper,Stony Brook,Loyola (MD)
Gabbi Ceballos,Midfielder,TCU,LSU
Ella Hase,Forward,Northwestern,Duke
Peyton Gilmore,Forward,Binghamton,High Point
Samiya Reid,Forward,Binghamton,Marist
Mackenzie Titus,Goalkeeper,Mississippi State,UT Martin
Naila Schoefberger,Defender,Rutgers,Mississippi State
Harlee Head,Goalkeeper,Pepperdine,Mississippi State
Chelsea Wagner,Midfielder,Oklahoma,Mississippi State
Paige Nurkin,Goalkeeper,Columbia,Wake Forest
Sydney Ritter,Forward,Auburn,West Virginia
Kamdyn Jalayer,Forward,UNLV,Lipscomb
Taylor James,Midfielder,Mississippi State,Lipscomb
Teah Vloedman,Midfielder,Texas Tech,Lipscomb
Lauren Weiss,Defender,North Florida,Lipscomb
Maggie Haskill,Defender,UMBC,Lipscomb
Camryn Davis,Midfielder,Jacksonville State,Western Kentucky
Kai Hayes,Midfielder,North Carolina,Baylor
Sara Brocious,Midfielder,Rutgers,TCU
Abby Reisz,Goalkeeper,Tennessee,Pittsburgh
Audrey Brown,Goalkeeper,Cal Poly Pomona,UMKC
Hannah Bebar,Midfielder,Harvard,Duke
Ally Giovino,Forward,Colgate,New Hampshire
Hailey Still,Midfielder,Washington,Portland
Phoebe Canoles,Forward,Towson,Portland
